TRAP,Type,LU_Around,Height_Mx,Dist_BG,Dist_Town,Robbed,Dist_Town_KM,Dist_GB_KM,Condition
9261,Burial Mound,Agriculture,3,56927.19568283997,937.5897590792285,Yes,0.9375897590792286,56.92719568283997,4
9264,Burial Mound,Agriculture,2.5,56841.28838798193,962.7739115931184,Yes,0.9627739115931184,56.841288387981926,3
9265,Burial Mound,Agriculture,2.5,56740.79084612662,1062.851300813912,Yes,1.062851300813912,56.74079084612662,2
9271,Burial Mound,Pasture,1,56716.748324649816,1081.5061538645393,No,1.0815061538645394,56.716748324649814,5
9272,Burial Mound,Pasture,2.5,56363.8397533213,1430.1647832525273,Yes,1.4301647832525273,56.3638397533213,4
9048,Extinct Burial Mound,Agriculture,0.8,46590.87372210307,419.96510583085467,No,0.41996510583085467,46.59087372210307,5
9050,Burial Mound,Agriculture,1.5,46341.662260222205,558.1593349456957,No,0.5581593349456957,46.34166226022221,5
9049,Burial Mound,Agriculture,3,46472.935954077875,482.98610651854773,No,0.48298610651854773,46.472935954077876,5
9338,Burial Mound,Agriculture,1.2,47541.85189540392,2734.1181647187755,No,2.7341181647187756,47.541851895403916,4
9337,Burial Mound,Agriculture,0.5,45237.40101211162,1735.4725757095014,No,1.7354725757095013,45.237401012111626,5
9071,Burial Mound,Pasture,1.5,45341.883719187375,549.208449564442,No,0.549208449564442,45.34188371918737,4
9070,Burial Mound,Scrub,NA,40738.41370547694,1921.55633260852,No,1.92155633260852,40.73841370547694,5
9334,Burial Mound,Agriculture,1.9,39293.65180003317,1650.9371304680847,No,1.6509371304680847,39.29365180003317,4
9332,Burial Mound,Pasture,4,39574.553538524255,620.1964838679713,Yes,0.6201964838679713,39.574553538524256,5
9130,Burial Mound,Agriculture,1.5,29277.663715140923,1742.806295446344,No,1.742806295446344,29.277663715140925,2
9128,Burial Mound,Pasture,4.5,29947.443358676624,1792.045021169421,Yes,1.792045021169421,29.947443358676626,5
9131,Burial Mound,Pasture,4,29494.185297370128,2672.312286303066,Yes,2.672312286303066,29.494185297370127,3
9230,Burial Mound,Pasture,2,31443.349058033527,1981.0924101583653,Yes,1.9810924101583653,31.443349058033526,4
9228,Burial Mound,Agriculture,2,32279.470978967438,914.285346533392,No,0.914285346533392,32.27947097896744,5
9125,Burial Mound,Pasture,1,31082.235435167757,1235.4286345036162,Yes,1.2354286345036163,31.082235435167757,3
9126,Burial Mound,Pasture,2.5,31073.398898358908,989.4159888186394,Yes,0.9894159888186395,31.073398898358906,4
9127,Burial Mound,Pasture,2,31210.30290408743,1121.579155106087,Yes,1.121579155106087,31.21030290408743,3
9132,Burial Mound,Pasture,2,30781.234191689462,394.09738943249096,Yes,0.39409738943249095,30.78123419168946,2
6030,Burial Mound,Pasture,4,33149.41782891366,537.2402901956859,Yes,0.537240290195686,33.14941782891366,2
9234,Burial Mound,Agriculture,0.5,32894.880810260736,2576.3525396629525,No,2.5763525396629525,32.89488081026074,5
9233,Burial Mound,Forest,1.5,33005.277076470455,2666.826101382946,Yes,2.666826101382946,33.005277076470456,5
9231,Burial Mound,Pasture,0.5,34177.32808108047,3495.6928939164814,Yes,3.4956928939164813,34.177328081080475,5
9166,Burial Mound,Pasture,5,33345.37657207572,0,No,0,33.34537657207572,3
9232,Burial Mound,Pasture,1.5,34512.15366986728,3475.867530704604,Yes,3.4758675307046043,34.51215366986728,4
9235,Burial Mound,Forest,3.5,34405.74215468394,2045.1820914774414,Yes,2.0451820914774412,34.40574215468394,5
9282,Burial Mound,Agriculture,0.5,37257.1473176191,910.3190565767811,No,0.9103190565767811,37.2571473176191,5
9123,Burial Mound,Agriculture,2,38597.37213347672,812.6716910781398,Yes,0.8126716910781399,38.59737213347672,4
9124,Burial Mound,Agriculture,1.5,38783.03289575151,543.2838532047504,Yes,0.5432838532047504,38.78303289575151,5
9119,Burial Mound,Agriculture,1,38917.229146557205,541.5594808669831,No,0.5415594808669831,38.917229146557204,4
9283,Burial Mound,Agriculture,2,38293.59721883024,1428.9819705487087,No,1.4289819705487086,38.29359721883024,5
9291,Burial Mound,Pasture,2.5,38768.37794158334,1182.1898309800238,Yes,1.1821898309800238,38.76837794158334,3
9292,Burial Mound,Agriculture,0.5,39034.58564756283,1346.6032019750126,No,1.3466032019750125,39.03458564756283,5
9293,Burial Mound,Agriculture,1,39979.09891927711,1700.5591762660556,No,1.7005591762660557,39.97909891927711,5
9028,Burial Mound,Agriculture,8,42442.361554148425,2722.6091468592217,Yes,2.7226091468592215,42.44236155414843,3
9030,Burial Mound,Agriculture,7,42556.93233402013,2564.067356928712,Yes,2.564067356928712,42.55693233402013,5
9351,Burial Mound,Pasture,3,42775.71936281537,2026.4577148233643,Yes,2.0264577148233642,42.775719362815366,2
9027,Burial Mound,Pasture,4,45673.556250388756,646.0820945420104,No,0.6460820945420104,45.673556250388756,1
9026,Burial Mound,Pasture,1.5,45725.79079868089,632.9085069169746,No,0.6329085069169746,45.72579079868089,1
9065,Burial Mound,Pasture,2,39756.62419192346,171.01750056896591,No,0.17101750056896592,39.75662419192346,5
9054,Burial Mound,Agriculture,3.5,39950.75808350327,67.40915809040101,No,0.067409158090401,39.950758083503274,2
9060,Burial Mound,Agriculture,4,39968.254261341805,38.8864338292639,Yes,0.0388864338292639,39.968254261341805,4
9068,Extinct Burial Mound,Agriculture,0.5,39171.016080900175,842.6872774669574,No,0.8426872774669574,39.17101608090017,5
9067,Burial Mound,Pasture,1.7,39369.732112231315,797.3090442001876,No,0.7973090442001876,39.36973211223132,2
9061,Burial Mound,Agriculture,1,39168.09913425752,860.3875461973792,No,0.8603875461973791,39.168099134257524,5
9287,Burial Mound,Agriculture,2.5,38091.994140264505,1927.9761107055306,Yes,1.9279761107055307,38.091994140264504,2
